month,energy_kwh
2006-12,696.8880333333333
2007-01,1150.1977
2007-02,941.4814333333334
2007-03,981.0365333333333
2007-04,586.3577666666666
2007-05,733.4812
2007-06,594.7138
2007-07,495.0638333333333
2007-08,568.2743333333333
2007-09,697.8767666666666
2007-10,821.2728333333333
2007-11,931.9774
2007-12,1210.0695
2008-01,1086.1563666666666
2008-02,822.1845333333333
2008-03,926.5099
2008-04,803.4998666666667
2008-05,762.031
2008-06,715.7328666666666
2008-07,591.2903
2008-08,205.698
2008-09,711.1298666666667
2008-10,844.941
2008-11,998.4793333333333
2008-12,947.2318666666666
2009-01,1049.1668
2009-02,837.0348333333334
2009-03,912.6497666666667
2009-04,821.2587333333333
2009-05,753.4971666666667
2009-06,559.033
2009-07,459.84073333333333
2009-08,484.60673333333335
2009-09,710.4760666666666
2009-10,851.4786666666666
2009-11,917.7940333333333
2009-12,1015.0834333333333
2010-01,989.6609666666667
2010-02,924.5284333333333
2010-03,802.5983
2010-04,739.6354
2010-05,814.8733333333333
2010-06,698.0904
2010-07,536.4625333333333
2010-08,368.38956666666667
2010-09,605.1570666666667
2010-10,865.5492333333333
2010-11,743.3064666666667
